customer_key,total_spent,customer_segment
C001572,10615.75,VIP
C000352,12098.0,VIP
C008760,9749.5,Regular
C004639,12455.0,VIP
C008201,10756.75,VIP
C006484,10561.0,VIP
C005827,11451.75,VIP
C003004,10222.5,VIP
C005707,10708.5,VIP
C007753,12742.5,VIP
C007550,12860.75,VIP
C004629,11853.5,VIP
C002239,12646.5,VIP
C000217,8267.75,Regular
C000128,11024.0,VIP
C009173,14938.75,VIP
C000636,12626.0,VIP
C004267,13178.25,VIP
C005884,11169.5,VIP
C004693,11802.75,VIP
C000740,11052.0,VIP
C008868,9944.0,Regular
C002410,9178.5,Regular
C001122,12560.0,VIP
C001316,13687.75,VIP
C008785,10583.5,VIP
C000046,10894.75,VIP
C007694,12827.75,VIP
C001005,11143.5,VIP
C003170,11030.25,VIP
C007121,13330.5,VIP
C007186,12251.0,VIP
C004252,11101.75,VIP
C005445,9543.25,Regular
C005434,10793.75,VIP
C006666,13745.0,VIP
C007324,10127.25,VIP
C008102,11007.5,VIP
C005576,12759.75,VIP
C007118,10811.0,VIP
C008230,12215.75,VIP
C004029,9525.0,Regular
C000081,10688.5,VIP
C001655,13790.5,VIP
C007453,12613.5,VIP
C001792,9122.25,Regular
C008982,12090.0,VIP
C002017,12702.75,VIP
C006812,12196.5,VIP
C002954,9548.75,Regular
C004974,8758.0,Regular
C007034,12583.5,VIP
C005269,11270.75,VIP
C004309,11053.5,VIP
C003440,10604.75,VIP
C001765,12189.75,VIP
C004493,11940.0,VIP
C004447,10184.25,VIP
C006329,13162.5,VIP
C005115,10090.75,VIP
C000317,12718.25,VIP
C007315,11207.0,VIP
C002621,12101.5,VIP
C001730,11602.75,VIP
C000207,11913.5,VIP
C008946,11160.75,VIP
C001498,12830.5,VIP
C005365,11438.75,VIP
C007533,10013.25,VIP
C008727,12270.25,VIP
C006726,11179.75,VIP
C005155,13709.75,VIP
C000343,13246.5,VIP
C005956,13536.0,VIP
C005384,10039.75,VIP
C002342,12475.0,VIP
C005721,10279.75,VIP
C006838,14479.25,VIP
C005280,10320.25,VIP
C001180,12444.75,VIP
C006079,10178.0,VIP
C003617,14896.25,VIP
C006851,10302.75,VIP
C002378,9635.75,Regular
C002484,11766.5,VIP
C008530,11659.0,VIP
C005065,12200.75,VIP
C003799,13768.0,VIP
C003935,10342.25,VIP
C002226,11238.25,VIP
C000499,12908.75,VIP
C000603,15449.25,VIP
C004993,11222.0,VIP
C007831,12600.75,VIP
C000184,11997.0,VIP
C005457,10913.5,VIP
C007169,9383.5,Regular
C003205,11843.0,VIP
C002304,11891.75,VIP
C006291,9644.25,Regular
C000026,11067.0,VIP
C006862,12548.0,VIP
C003755,9932.75,Regular
C004424,10767.75,VIP
C004466,13441.75,VIP
C002553,10089.5,VIP
C006415,10314.5,VIP
C003640,12469.25,VIP
C003969,12032.0,VIP
C008733,10870.25,VIP
C002665,11676.25,VIP
C007584,14569.75,VIP
C008021,11607.5,VIP
C002351,11181.75,VIP
C000581,11579.75,VIP
C002549,13818.75,VIP
C006467,10588.25,VIP
C000921,12344.0,VIP
C000069,12216.75,VIP
C001069,11662.5,VIP
C008178,11453.0,VIP
C002295,10904.0,VIP
C007050,13414.0,VIP
C009169,11912.25,VIP
C000388,8877.25,Regular
C005438,13034.25,VIP
C002839,10198.75,VIP
C000913,13247.75,VIP
C007750,10224.5,VIP
C001186,10584.5,VIP
C007606,12323.25,VIP
C001196,14267.75,VIP
C000383,11127.75,VIP
C002670,15908.0,VIP
C000532,11117.25,VIP
C004568,9751.75,Regular
C005145,13152.25,VIP
C003085,12353.75,VIP
C007487,14849.0,VIP
C007242,14338.0,VIP
C002819,12837.25,VIP
C000853,8743.25,Regular
C002361,12559.5,VIP
C003997,10989.0,VIP
C003677,11726.5,VIP
C001820,12601.0,VIP
C002504,13159.25,VIP
C007978,12099.25,VIP
C000100,13569.25,VIP
C001039,12153.5,VIP
C007460,10953.75,VIP
C005837,10482.0,VIP
C003885,11853.5,VIP
C000844,10019.25,VIP
C000836,11325.75,VIP
C006562,12022.75,VIP
C000621,10641.0,VIP
C005593,10198.5,VIP
C001945,10507.75,VIP
C007596,11330.0,VIP
C002687,12667.5,VIP
C006407,11589.0,VIP
C002912,10536.75,VIP
C001813,11107.5,VIP
C007985,12793.75,VIP
C003722,10397.0,VIP
C005197,11548.5,VIP
C001548,11873.5,VIP
C008577,12096.25,VIP
C007551,14264.5,VIP
C002746,12182.25,VIP
C003549,10406.5,VIP
C001225,9624.0,Regular
C007156,10971.75,VIP
C002088,10802.0,VIP
C007448,11066.5,VIP
C002517,10580.25,VIP
C006498,12485.5,VIP
C001960,8367.0,Regular
C001685,11377.25,VIP
C000121,11228.25,VIP
C009007,10039.75,VIP
C004061,14559.25,VIP
C004129,10699.0,VIP
C006555,12519.5,VIP
C006514,10303.75,VIP
C003870,9550.5,Regular
C001951,11731.25,VIP
C002107,11538.25,VIP
C009071,9155.75,Regular
C004028,12371.0,VIP
C002430,9760.0,Regular
C004517,11925.0,VIP
C001626,10346.25,VIP
C000325,11692.0,VIP
C004772,12234.25,VIP
C004845,13700.25,VIP
C000372,13663.75,VIP
C003230,10062.0,VIP
C003047,11087.75,VIP
C006196,14232.5,VIP
C001795,12521.0,VIP
C003712,14008.0,VIP
C004782,10568.75,VIP
C000351,11888.5,VIP
C000414,13754.25,VIP
C001573,11839.75,VIP
C007722,10580.5,VIP
C003559,12977.0,VIP
C000481,12662.0,VIP
C005897,10269.75,VIP
C006667,9737.0,Regular
C004514,13295.5,VIP
C004506,13084.5,VIP
C005420,13271.75,VIP
C003570,12680.0,VIP
C000360,11017.75,VIP
C002341,11399.5,VIP
C002784,12565.0,VIP
C008408,12290.5,VIP
C008121,9440.25,Regular
C008290,10930.75,VIP
C003643,11955.5,VIP
C000289,11086.75,VIP
C007800,13785.0,VIP
C005563,13125.0,VIP
C000589,9896.5,Regular
C000618,10001.0,VIP
C004886,13742.25,VIP
C000994,10466.25,VIP
C007210,12850.0,VIP
C007421,14550.5,VIP
C008606,9284.75,Regular
C000718,10193.5,VIP
C002029,8849.25,Regular
C008794,13538.5,VIP
C003859,10922.5,VIP
C000706,11795.25,VIP
C001672,12745.75,VIP
C000608,11817.75,VIP
C007292,11421.5,VIP
C001611,9474.25,Regular
C004933,11895.5,VIP
C008782,11268.0,VIP
C007829,10245.75,VIP
C005862,11347.75,VIP
C006792,11508.75,VIP
C006395,10365.5,VIP
C005412,14455.5,VIP
C003902,12512.25,VIP
C006788,8568.25,Regular
C002732,12751.0,VIP
C007238,11009.0,VIP
C002039,11194.5,VIP
C008674,9503.25,Regular
C003141,9359.75,Regular
C007836,9447.0,Regular
C008682,11905.5,VIP
C008934,14111.75,VIP
C004795,13129.25,VIP
C008349,11028.25,VIP
C006370,8689.0,Regular
C006869,10806.75,VIP
C006035,12195.25,VIP
C008359,7906.75,Regular
C000510,11530.5,VIP
C000889,10579.75,VIP
C002037,12305.25,VIP
C006235,13530.75,VIP
C005797,13238.75,VIP
C005303,10976.25,VIP
C001129,9811.75,Regular
C000187,10732.0,VIP
C005488,9643.5,Regular
C006967,12037.75,VIP
C003932,11897.25,VIP
C002668,10374.0,VIP
C008650,13528.25,VIP
C008087,9357.0,Regular
C005367,10729.0,VIP
C001021,11032.5,VIP
C006292,12874.25,VIP
C005497,13259.5,VIP
C003400,13408.5,VIP
C008041,9178.25,Regular
C008289,12917.75,VIP
C006373,10905.5,VIP
C002275,10280.25,VIP
C001609,10441.0,VIP
C003988,9946.0,Regular
C008922,10851.75,VIP
C008057,11532.25,VIP
C005980,10424.0,VIP
C002994,11283.75,VIP
C005935,13150.25,VIP
C001309,9282.0,Regular
C008110,11882.0,VIP
C007368,11988.25,VIP
C001550,12755.5,VIP
C003518,13409.75,VIP
C009017,10998.5,VIP
C007901,7890.25,Regular
C007180,9401.0,Regular
C007266,10907.0,VIP
C001246,11054.5,VIP
C004986,12399.5,VIP
C005312,10699.5,VIP
C004911,12356.0,VIP
C005529,11815.25,VIP
C006449,11957.25,VIP
C002317,10699.5,VIP
C008660,11654.75,VIP
C002960,10783.25,VIP
C007088,8176.5,Regular
C004646,12529.5,VIP
C008822,11511.75,VIP
C000658,11499.0,VIP
C000299,9259.75,Regular
C003659,11043.0,VIP
C005869,12830.25,VIP
C004759,11525.75,VIP
C003980,11419.25,VIP
C005300,9871.0,Regular
C005521,9758.0,Regular
C007997,12130.5,VIP
C005393,10123.0,VIP
C008469,11132.0,VIP
C002869,11197.75,VIP
C008941,12683.0,VIP
C004229,9637.0,Regular
C004839,10408.75,VIP
C001530,12475.75,VIP
C003587,10834.25,VIP
C006818,9689.5,Regular
C000109,10667.0,VIP
C007076,9059.5,Regular
C004006,12108.0,VIP
C001772,11571.5,VIP
C002233,10681.5,VIP
C000736,11250.25,VIP
C006884,11079.25,VIP
C006924,12845.25,VIP
C004057,12172.5,VIP
C001276,12030.0,VIP
C000726,12251.0,VIP
C004181,10651.75,VIP
C001844,10600.75,VIP
C004191,11045.5,VIP
C008182,12042.25,VIP
C004081,10679.75,VIP
C000663,8761.25,Regular
C005674,13995.75,VIP
C003379,11126.0,VIP
C005573,12234.25,VIP
C003155,13288.0,VIP
C006949,12144.75,VIP
C002130,12941.75,VIP
C005474,10999.0,VIP
C000675,12017.5,VIP
C006891,11645.75,VIP
C009041,9794.75,Regular
C009102,10356.25,VIP
C008077,10753.0,VIP
C007889,10418.0,VIP
C007271,11039.25,VIP
C002797,10331.25,VIP
C004710,10264.0,VIP
C000311,9682.0,Regular
C002264,14032.5,VIP
C008504,9814.5,Regular
C001427,13399.25,VIP
C008138,10508.75,VIP
C008997,10341.0,VIP
C008067,11625.5,VIP
C005137,11975.75,VIP
C003187,10853.75,VIP
C003263,11957.25,VIP
C001326,10882.5,VIP
C001517,12959.25,VIP
C002443,11537.5,VIP
C008613,13360.5,VIP
C000458,11728.0,VIP
C000008,9714.0,Regular
C004044,10806.0,VIP
C001374,11908.25,VIP
C001267,13151.25,VIP
C006185,9973.75,Regular
C002061,12823.25,VIP
C004032,8879.25,Regular
C008425,9668.25,Regular
C007765,12210.25,VIP
C003568,12736.75,VIP
C000520,10880.25,VIP
C001639,11101.75,VIP
C003494,12897.75,VIP
C007116,12653.5,VIP
C003222,9914.0,Regular
C006327,12594.5,VIP
C000907,11979.25,VIP
C004449,15183.75,VIP
C003111,12256.0,VIP
C002122,11535.25,VIP
C007511,13073.75,VIP
C008305,11330.75,VIP
C000292,10278.75,VIP
C008027,10886.75,VIP
C004954,11645.5,VIP
C003578,12189.25,VIP
C004891,12680.0,VIP
C002632,12676.75,VIP
C003955,11141.25,VIP
C003390,11336.25,VIP
C005636,10824.0,VIP
C008251,10753.0,VIP
C008642,11513.25,VIP
C007899,13800.75,VIP
C001973,10542.5,VIP
C005185,12278.75,VIP
C005710,11517.0,VIP
C006206,12759.5,VIP
C005091,11178.0,VIP
C004430,12125.25,VIP
C002727,12396.0,VIP
C007106,11214.0,VIP
C008410,12334.75,VIP
C001218,13132.5,VIP
C003024,9915.25,Regular
C007175,10278.75,VIP
C007646,12108.25,VIP
C008131,11632.25,VIP
C001359,12264.75,VIP
C002320,10819.75,VIP
C001438,16381.5,VIP
C003399,13901.75,VIP
C005702,12352.5,VIP
C000960,10421.25,VIP
C000301,13272.5,VIP
C001962,10207.0,VIP
C008204,10750.5,VIP
C000984,11357.0,VIP
C001234,10641.0,VIP
C004472,11390.75,VIP
C004981,10361.75,VIP
C008046,13774.25,VIP
C008240,11094.5,VIP
C001402,11931.5,VIP
C002345,10856.25,VIP
C000239,11171.75,VIP
C000822,11323.0,VIP
C005660,11334.25,VIP
C000743,10149.75,VIP
C005328,10420.0,VIP
C006585,11427.25,VIP
C007964,10328.0,VIP
C009170,10805.0,VIP
C006489,10945.0,VIP
C004179,11060.5,VIP
C002495,11553.25,VIP
C007726,14283.5,VIP
C001160,11314.5,VIP
C002813,10791.5,VIP
C003514,13157.0,VIP
C007489,13304.0,VIP
C002333,10329.5,VIP
C007667,11144.0,VIP
C003995,10301.25,VIP
C001028,14211.0,VIP
C007629,11027.75,VIP
C002943,10950.5,VIP
C005846,11106.25,VIP
C006230,12868.0,VIP
C001491,11507.5,VIP
C000174,10627.5,VIP
C008105,11806.75,VIP
C004297,12742.0,VIP
C006510,13361.0,VIP
C001697,11756.0,VIP
C008623,11286.75,VIP
C000412,9243.25,Regular
C006452,10614.5,VIP
C001569,12927.25,VIP
C000357,13678.75,VIP
C005778,13738.75,VIP
C008451,11691.75,VIP
C000810,12384.5,VIP
C004696,13514.5,VIP
C000579,12040.0,VIP
C003828,11446.75,VIP
C008098,10785.25,VIP
C004752,8943.0,Regular
C000226,12975.5,VIP
C002014,11230.75,VIP
C001279,12363.25,VIP
C008846,13914.5,VIP
C002110,11737.0,VIP
C006602,11947.25,VIP
C008877,9506.5,Regular
C001317,10931.5,VIP
C002656,10640.0,VIP
C001127,8881.0,Regular
C006397,11391.75,VIP
C001686,10967.75,VIP
C006100,11261.5,VIP
C004003,10483.5,VIP
C005633,11240.75,VIP
C006155,9091.0,Regular
C002921,9350.75,Regular
C002305,9222.5,Regular
C000342,11514.5,VIP
C005154,14840.0,VIP
C005383,9738.5,Regular
C007699,9828.5,Regular
C004540,11676.0,VIP
C003938,12382.0,VIP
C002225,11150.75,VIP
C002662,10804.0,VIP
C005677,10927.0,VIP
C009036,12421.5,VIP
C006020,12467.0,VIP
C005885,13598.5,VIP
C004079,11451.0,VIP
C007655,12294.5,VIP
C000528,11861.5,VIP
C008074,11590.75,VIP
C007312,12257.25,VIP
C004711,10547.25,VIP
C006365,9918.75,Regular
C006381,11394.75,VIP
C001783,10584.75,VIP
C006145,10483.5,VIP
C000759,10405.25,VIP
C001428,12846.75,VIP
C006690,11748.5,VIP
C006915,8582.25,Regular
C006278,11929.25,VIP
C004429,10581.75,VIP
C002595,9984.5,Regular
C004667,10673.0,VIP
C002355,10481.5,VIP
C002965,12350.25,VIP
C009093,11523.75,VIP
C007955,11463.75,VIP
C005689,11008.25,VIP
C002546,9298.75,Regular
C000181,11299.25,VIP
C005929,12533.5,VIP
C001850,10485.25,VIP
C001974,12082.5,VIP
C005285,10500.5,VIP
C004084,11053.25,VIP
C006074,11565.0,VIP
C003561,11254.0,VIP
C002323,11156.75,VIP
C003200,14221.75,VIP
C008134,10132.0,VIP
C000068,10552.25,VIP
C003027,9718.25,Regular
C006506,9032.5,Regular
C005116,11039.25,VIP
C008367,13363.0,VIP
C007589,13327.5,VIP
C003502,11747.0,VIP
C000293,10774.5,VIP
C003895,9981.75,Regular
C006464,11086.0,VIP
C002485,10147.25,VIP
C005127,13350.5,VIP
C002970,13905.75,VIP
C004998,9905.75,Regular
C008533,10515.25,VIP
C003311,12151.0,VIP
C008154,9785.5,Regular
C000900,12279.25,VIP
C008485,10817.75,VIP
C007797,12248.25,VIP
C001481,11235.75,VIP
C002437,13692.25,VIP
C004957,13682.25,VIP
C002150,12913.25,VIP
C006953,11412.25,VIP
C005106,9725.0,Regular
C008754,12786.75,VIP
C008639,13698.0,VIP
C006655,10813.0,VIP
C003014,14471.75,VIP
C005234,9895.0,Regular
C006029,10870.75,VIP
C007055,11412.25,VIP
C006066,10986.25,VIP
C005439,8630.0,Regular
C001447,12165.0,VIP
C008704,9300.0,Regular
C002294,14364.75,VIP
C002178,13383.25,VIP
C006575,12587.0,VIP
C005036,13327.25,VIP
C007362,11676.5,VIP
C008389,11013.0,VIP
C000624,11001.25,VIP
C000249,11260.75,VIP
C009181,9135.25,Regular
C003406,13268.0,VIP
C006444,9654.0,Regular
C002324,9912.25,Regular
C007524,12196.0,VIP
C007261,11014.75,VIP
C007560,9319.0,Regular
C003975,12201.25,VIP
C001532,11341.0,VIP
C005629,12525.25,VIP
C005712,12920.25,VIP
C008656,11670.25,VIP
C002532,12471.0,VIP
C001615,11711.25,VIP
C001147,10943.75,VIP
C003280,12308.25,VIP
C007131,11096.0,VIP
C001692,11681.75,VIP
C007196,11284.25,VIP
C003674,11075.75,VIP
C000208,9838.0,Regular
C001705,10653.25,VIP
C001526,10737.75,VIP
C003246,10367.5,VIP
C000681,14313.5,VIP
C005602,12675.5,VIP
C008837,10170.0,VIP
C004806,11484.25,VIP
C001918,13278.75,VIP
C001922,12908.0,VIP
C003108,12287.25,VIP
C002099,11241.5,VIP
C001680,9950.5,Regular
C004913,11920.5,VIP
C008813,10941.75,VIP
C000750,10914.0,VIP
C002673,12191.5,VIP
C006030,13902.75,VIP
C003546,11099.5,VIP
C003070,14261.0,VIP
C002838,12324.0,VIP
C002887,11407.5,VIP
C007443,10381.75,VIP
C009070,9895.0,Regular
C000592,13118.25,VIP
C005856,12503.25,VIP
C001860,11255.0,VIP
C006641,10705.25,VIP
C004520,10210.5,VIP
C007995,11885.0,VIP
C005453,11577.0,VIP
C005348,12064.75,VIP
C008220,11093.25,VIP
C003918,13068.75,VIP
C002368,11525.5,VIP
C003436,12793.0,VIP
C000120,9269.5,Regular
C004775,13381.0,VIP
C004683,12083.75,VIP
C007009,9109.25,Regular
C004485,14391.75,VIP
C003258,10678.0,VIP
C002197,12762.25,VIP
C008935,12841.0,VIP
C007351,10078.75,VIP
C007040,11294.25,VIP
C003480,10536.0,VIP
C004549,10602.25,VIP
C000709,10969.75,VIP
C005896,11843.0,VIP
C008976,10855.5,VIP
C008671,9183.5,Regular
C008332,10890.5,VIP
C008737,10808.5,VIP
C008983,10261.0,VIP
C008723,12943.75,VIP
C007851,12380.25,VIP
C000347,9882.0,Regular
C004348,11255.0,VIP
C003210,11443.5,VIP
C003684,11242.75,VIP
C000278,11551.0,VIP
C004885,11055.0,VIP
C007549,15450.25,VIP
C003361,14502.25,VIP
C005888,12255.0,VIP
C006388,11796.25,VIP
C008295,10006.75,VIP
C003948,9985.5,Regular
C001117,8472.75,Regular
C001501,12310.75,VIP
C002708,12164.25,VIP
C007640,12006.75,VIP
C002876,12093.0,VIP
C004457,9719.5,Regular
C003171,13358.75,VIP
C003450,13329.75,VIP
C000313,10519.75,VIP
C006502,10964.75,VIP
C004724,11477.0,VIP
C008605,10027.5,VIP
C001833,8999.0,Regular
C002425,11701.0,VIP
C006110,10348.0,VIP
C002285,9369.25,Regular
C005073,13259.5,VIP
C000611,12594.0,VIP
C009155,9316.5,Regular
C004706,11424.0,VIP
C005274,12326.75,VIP
C001150,9859.0,Regular
C001269,10799.0,VIP
C004436,10452.5,VIP
C000030,10769.5,VIP
C004654,13049.5,VIP
C006622,12913.5,VIP
C002006,13407.5,VIP
C007770,10738.25,VIP
C004553,9586.0,Regular
C005051,10857.75,VIP
C005687,13460.25,VIP
C005449,10365.75,VIP
C004719,9206.5,Regular
C006962,9534.75,Regular
C008371,12630.25,VIP
C001330,11734.75,VIP
C004213,11466.25,VIP
C007576,14764.25,VIP
C008033,11696.5,VIP
C004319,10186.0,VIP
C005872,10193.25,VIP
C002173,11386.25,VIP
C002963,11624.75,VIP
C003985,12457.25,VIP
C005435,10646.0,VIP
C001915,11122.25,VIP
C005456,11421.25,VIP
C002034,8350.75,Regular
C004618,10179.5,VIP
C005415,11184.75,VIP
C002236,11112.25,VIP
C006717,15565.5,VIP
C008773,11524.5,VIP
C008651,10622.0,VIP
C003616,13531.0,VIP
C007762,12156.5,VIP
C007610,12886.75,VIP
C008765,11304.75,VIP
C003169,12590.5,VIP
C002314,10642.5,VIP
C008663,10361.5,VIP
C001008,12789.5,VIP
C003401,11596.0,VIP
C006244,10039.25,VIP
C005109,12435.5,VIP
C007029,12292.0,VIP
C006877,11896.25,VIP
C008398,8488.0,Regular
C001306,10990.0,VIP
C003410,11938.5,VIP
C004001,11458.25,VIP
C002841,11886.75,VIP
C004190,9693.25,Regular
C003633,10193.0,VIP
C005396,11849.0,VIP
C000092,12722.75,VIP
C001277,10027.0,VIP
C000725,10963.75,VIP
C008980,10831.75,VIP
C006925,9889.5,Regular
C006954,10544.75,VIP
C008808,11547.75,VIP
C009031,11461.25,VIP
C000084,12622.75,VIP
C007087,8812.5,Regular
C003191,10924.5,VIP
C004727,11060.5,VIP
C008054,11605.25,VIP
C000757,11482.75,VIP
C002649,12551.0,VIP
C003007,12328.25,VIP
C004177,10329.75,VIP
C006530,11168.75,VIP
C002787,12724.0,VIP
C002049,11056.5,VIP
C006374,9631.75,Regular
C001775,13592.25,VIP
C002160,9865.75,Regular
C002742,9916.5,Regular
C001652,11068.5,VIP
C000041,11795.75,VIP
C008507,11096.5,VIP
C002078,11637.75,VIP
C008135,10548.5,VIP
C004937,11980.0,VIP
C008254,10360.75,VIP
C006215,10554.25,VIP
C004680,13035.5,VIP
C006940,8859.75,Regular
C001847,11813.5,VIP
C007842,9982.5,Regular
C007960,11593.25,VIP
C001794,14135.75,VIP
C008937,11516.0,VIP
C000686,12574.75,VIP
C008544,12623.25,VIP
C004844,11124.5,VIP
C006723,10369.5,VIP
C008907,9590.25,Regular
C000672,11799.0,VIP
C006960,10588.25,VIP
C008060,12673.5,VIP
C003262,13019.75,VIP
C003229,12000.75,VIP
C007043,10836.75,VIP
C008736,11702.5,VIP
C000662,11841.75,VIP
C005535,10139.25,VIP
C003150,12372.25,VIP
C007572,9598.75,Regular
C002420,12114.0,VIP
C003257,9065.75,Regular
C005222,9816.25,Regular
C003575,12577.5,VIP
C006501,11920.5,VIP
C003689,11951.75,VIP
C006391,11537.0,VIP
C007852,12621.75,VIP
C008557,11795.25,VIP
C006820,13792.5,VIP
C009186,10785.5,VIP
C004041,10649.0,VIP
C002574,12374.5,VIP
C003062,12187.25,VIP
C004444,12079.25,VIP
C007538,11257.5,VIP
C002825,9748.0,Regular
C005806,10116.75,VIP
C007176,10729.5,VIP
C002265,12194.75,VIP
C007386,14721.5,VIP
C002051,10603.0,VIP
C000023,10079.0,VIP
C000929,10051.25,VIP
C000329,10621.0,VIP
C003706,13229.0,VIP
C004768,9511.5,Regular
C000580,10944.5,VIP
C006186,11260.5,VIP
C000622,13550.0,VIP
C007904,11919.75,VIP
C007514,10889.25,VIP
C001881,9546.75,Regular
C005271,10749.5,VIP
C006418,11506.0,VIP
C003929,11617.5,VIP
C003491,13366.0,VIP
C005087,11232.25,VIP
C001638,9915.75,Regular
C000892,11136.0,VIP
C006995,11957.75,VIP
C001459,12020.5,VIP
C001181,11197.75,VIP
C005519,10499.5,VIP
C003956,10743.25,VIP
C006621,11025.75,VIP
C003021,11649.25,VIP
C008036,10897.25,VIP
C008026,11891.75,VIP
C004817,12543.25,VIP
C005094,10817.75,VIP
C007166,12177.0,VIP
C008637,9664.25,Regular
C004125,11338.25,VIP
C003481,12561.25,VIP
C005060,10124.5,VIP
C008993,12276.25,VIP
C007111,12219.25,VIP
C008645,12456.0,VIP
C005927,11837.75,VIP
C006222,13648.25,VIP
C002182,9979.0,Regular
C003274,12782.25,VIP
C001141,13339.5,VIP
C002501,10312.5,VIP
C009045,10301.25,VIP
C004208,13445.0,VIP
C001629,11863.25,VIP
C004529,12025.25,VIP
C001823,12717.5,VIP
C002655,9801.0,Regular
C003723,11349.5,VIP
C004423,12522.75,VIP
C000835,11200.5,VIP
C002816,10351.0,VIP
C004064,10092.25,VIP
C006567,13612.5,VIP
C006472,14880.25,VIP
C004433,12923.25,VIP
C004781,11827.75,VIP
C002594,11958.5,VIP
C007781,10603.75,VIP
C008578,10948.5,VIP
C000914,10963.75,VIP
C007153,10448.75,VIP
C002089,10417.0,VIP
C000825,12762.75,VIP
C001948,10998.25,VIP
C008710,10708.25,VIP
C004564,11072.25,VIP
C000983,13692.0,VIP
C002719,12974.25,VIP
