customer_key,first_purchase,last_purchase
C001316,2014-01-21 06:50:00,2021-01-16 02:24:00
C008785,2014-04-09 08:49:00,2021-01-15 08:27:00
C000046,2014-02-07 02:26:00,2021-01-19 04:37:00
C007694,2014-01-24 09:07:00,2020-12-19 05:05:00
C001005,2014-02-26 05:40:00,2021-01-06 12:16:00
C003170,2014-02-15 21:44:00,2021-01-18 22:58:00
C007121,2014-01-20 22:52:00,2020-12-06 23:20:00
C007186,2014-02-22 15:16:00,2021-01-07 11:48:00
C004252,2014-02-13 21:39:00,2021-01-13 20:15:00
C005445,2014-01-26 03:40:00,2021-01-21 16:44:00
C005434,2014-02-21 04:22:00,2021-01-06 05:30:00
C006666,2014-01-23 13:19:00,2020-12-27 23:04:00
C007324,2014-02-25 23:59:00,2020-12-25 18:56:00
C008102,2014-02-17 16:10:00,2020-12-28 08:40:00
C005576,2014-02-06 06:49:00,2021-01-20 05:23:00
C007118,2014-03-23 00:19:00,2021-01-16 14:40:00
C008230,2014-01-26 03:21:00,2021-01-14 23:31:00
C004029,2014-01-26 10:17:00,2021-01-12 07:54:00
C000081,2014-03-09 17:42:00,2021-01-07 01:53:00
C001655,2014-01-23 05:16:00,2020-10-22 14:18:00
C007453,2014-03-04 02:23:00,2020-12-25 16:56:00
C001792,2014-03-18 20:48:00,2020-10-09 19:18:00
C008982,2014-01-25 10:36:00,2021-01-07 19:54:00
C002017,2014-02-02 20:24:00,2021-01-09 08:42:00
C006812,2014-01-21 02:18:00,2020-12-23 09:30:00
C002954,2014-02-04 03:22:00,2020-12-16 12:41:00
C004974,2014-01-28 14:19:00,2020-12-22 17:11:00
C007034,2014-02-07 19:31:00,2021-01-09 17:47:00
C005269,2014-01-25 06:47:00,2020-12-17 23:52:00
C004309,2014-01-24 21:58:00,2020-12-16 21:44:00
C003440,2014-01-28 22:51:00,2021-01-12 16:21:00
C001765,2014-02-08 05:24:00,2020-12-27 06:44:00
C004493,2014-02-04 03:22:00,2021-01-13 22:00:00
C004447,2014-03-10 18:25:00,2021-01-21 18:28:00
C006329,2014-01-31 02:19:00,2021-01-18 15:36:00
C005115,2014-02-01 01:04:00,2021-01-17 20:54:00
C000317,2014-01-24 00:04:00,2021-01-19 19:06:00
C007315,2014-02-01 05:21:00,2020-12-28 19:20:00
C002621,2014-02-05 21:21:00,2020-12-30 01:42:00
C001730,2014-02-01 15:53:00,2021-01-13 23:59:00
C000207,2014-02-27 06:31:00,2021-01-06 03:29:00
C008946,2014-01-24 23:51:00,2020-12-14 11:43:00
C001498,2014-03-26 03:05:00,2020-11-17 23:05:00
C005365,2014-02-06 20:41:00,2021-01-18 20:19:00
C007533,2014-02-14 15:03:00,2020-12-14 09:14:00
C008727,2014-01-26 13:00:00,2021-01-20 04:26:00
C006726,2014-03-15 23:12:00,2020-11-22 21:39:00
C005155,2014-01-22 17:54:00,2020-12-29 23:37:00
C000343,2014-01-28 07:50:00,2020-12-31 02:57:00
C005956,2014-02-27 03:29:00,2021-01-11 06:02:00
C005384,2014-01-31 17:54:00,2020-12-30 20:02:00
C002342,2014-02-04 11:25:00,2020-12-22 17:14:00
C005721,2014-02-10 06:12:00,2020-11-18 08:37:00
C006838,2014-04-10 10:58:00,2021-01-09 16:53:00
C005280,2014-02-04 15:57:00,2020-12-22 17:59:00
C001180,2014-01-25 00:01:00,2021-01-18 20:21:00
C006079,2014-04-05 01:17:00,2020-11-05 10:20:00
C003617,2014-02-18 16:50:00,2020-10-29 19:22:00
C006851,2014-04-19 02:24:00,2021-01-05 05:14:00
C002378,2014-01-20 21:18:00,2021-01-03 09:06:00
C002484,2014-01-30 00:39:00,2021-01-18 21:01:00
C008530,2014-01-23 05:06:00,2021-01-07 11:48:00
C005065,2014-04-05 23:49:00,2021-01-12 09:04:00
C003799,2014-02-02 13:38:00,2021-01-06 09:21:00
C003935,2014-03-20 06:06:00,2021-01-08 11:56:00
C002226,2014-02-04 06:39:00,2021-01-09 23:56:00
C000499,2014-01-21 05:46:00,2020-11-27 17:50:00
C000603,2014-02-24 14:03:00,2020-11-21 09:04:00
C004993,2014-05-01 21:09:00,2020-11-22 05:07:00
C007831,2014-01-24 00:27:00,2020-12-11 20:04:00
C000184,2014-02-08 13:07:00,2021-01-20 23:10:00
C005457,2014-04-04 01:51:00,2021-01-08 11:16:00
C007169,2014-01-24 14:27:00,2020-12-29 11:48:00
C003205,2014-01-28 12:09:00,2020-12-06 04:04:00
C002304,2014-01-21 05:08:00,2021-01-21 01:48:00
C006291,2014-01-22 03:07:00,2021-01-12 05:47:00
C000026,2014-01-30 21:37:00,2020-12-02 23:23:00
C006862,2014-01-21 06:50:00,2020-12-21 06:12:00
C003755,2014-02-09 12:18:00,2021-01-13 21:38:00
C004424,2014-02-04 11:25:00,2020-12-28 04:26:00
C004466,2014-03-16 02:19:00,2020-12-26 21:01:00
C002553,2014-01-30 20:17:00,2020-12-13 04:50:00
C006415,2014-05-05 21:54:00,2020-12-01 19:16:00
C003640,2014-01-26 17:03:00,2021-01-20 22:14:00
C003969,2014-02-08 05:24:00,2021-01-16 10:13:00
C008733,2014-02-04 19:51:00,2020-12-31 02:02:00
C002665,2014-02-17 14:53:00,2021-01-02 19:43:00
C007584,2014-01-23 16:32:00,2021-01-19 16:38:00
C008021,2014-02-17 00:48:00,2020-10-12 10:59:00
C002351,2014-01-25 05:09:00,2021-01-13 14:15:00
C000581,2014-02-07 02:00:00,2021-01-02 20:07:00
C002549,2014-03-13 02:28:00,2021-01-09 23:35:00
C006467,2014-04-23 06:38:00,2020-12-17 17:52:00
C000921,2014-02-16 07:37:00,2021-01-07 11:20:00
C000069,2014-02-25 11:20:00,2021-01-18 11:35:00
C001069,2014-01-21 06:50:00,2021-01-21 06:03:00
C008178,2014-02-04 13:07:00,2020-09-26 03:17:00
C002295,2014-01-22 03:07:00,2021-01-20 08:27:00
C007050,2014-02-09 12:31:00,2021-01-10 22:49:00
C009169,2014-03-21 04:15:00,2021-01-22 00:59:00
C000388,2014-03-20 04:41:00,2020-12-07 22:08:00
C005438,2014-02-28 19:59:00,2021-01-09 02:13:00
C002839,2014-02-05 07:02:00,2020-12-21 13:23:00
C000913,2014-02-02 13:43:00,2021-01-06 16:39:00
C007750,2014-02-23 19:05:00,2021-01-17 19:18:00
C001186,2014-03-06 17:06:00,2021-01-20 07:25:00
C007606,2014-02-19 00:18:00,2020-12-31 02:02:00
C001196,2014-01-25 18:11:00,2021-01-08 07:09:00
C000383,2014-05-01 19:32:00,2020-10-23 23:13:00
C002670,2014-02-01 04:05:00,2021-01-03 03:54:00
C000532,2014-02-02 23:33:00,2021-01-20 08:24:00
C004568,2014-02-04 23:47:00,2020-12-05 20:51:00
C005145,2014-02-21 16:16:00,2021-01-06 20:10:00
C003085,2014-01-21 12:34:00,2020-12-28 08:27:00
C007487,2014-01-29 11:49:00,2021-01-05 19:43:00
C007242,2014-02-04 03:22:00,2021-01-17 03:32:00
C002819,2014-03-04 05:58:00,2021-01-18 06:59:00
C000853,2014-01-24 00:27:00,2021-01-06 21:15:00
C002361,2014-02-03 09:33:00,2020-12-19 14:59:00
C003997,2014-02-05 17:16:00,2021-01-05 20:31:00
C003677,2014-01-23 23:44:00,2021-01-19 22:55:00
C001820,2014-01-26 17:17:00,2021-01-20 07:25:00
C002504,2014-03-18 22:44:00,2021-01-22 14:40:00
C007978,2014-04-15 11:34:00,2021-01-17 02:07:00
C000100,2014-01-24 00:04:00,2021-01-20 05:29:00
C001039,2014-02-17 07:02:00,2021-01-11 02:35:00
C007460,2014-02-10 17:17:00,2020-12-07 12:16:00
C005837,2014-02-26 05:40:00,2021-01-12 08:32:00
C003885,2014-01-26 08:44:00,2020-12-05 15:59:00
C000844,2014-02-03 01:37:00,2021-01-09 15:37:00
C000836,2014-01-22 13:12:00,2021-01-08 02:14:00
C006562,2014-02-04 08:17:00,2020-11-25 22:53:00
C000621,2014-02-01 05:17:00,2021-01-18 22:58:00
C005593,2014-01-26 03:40:00,2021-01-14 01:06:00
C001945,2014-02-08 03:47:00,2020-12-30 05:49:00
C007596,2014-04-03 18:33:00,2021-01-06 03:29:00
C002687,2014-02-16 16:39:00,2021-01-16 14:04:00
C006407,2014-01-23 03:07:00,2021-01-22 17:22:00
C002912,2014-02-10 20:38:00,2021-01-14 02:19:00
C001813,2014-02-08 09:01:00,2021-01-22 12:38:00
C007985,2014-04-23 16:53:00,2021-01-05 00:31:00
C003722,2014-01-22 17:31:00,2021-01-07 15:19:00
C005197,2014-04-04 01:51:00,2020-12-19 09:20:00
C001548,2014-01-21 17:28:00,2021-01-04 08:16:00
C008577,2014-05-04 11:47:00,2021-01-02 16:01:00
C007551,2014-02-21 08:16:00,2021-01-20 05:29:00
C002746,2014-03-17 07:06:00,2020-12-14 05:57:00
C003549,2014-01-25 12:24:00,2020-12-26 14:31:00
C001225,2014-02-11 01:34:00,2020-12-27 18:26:00
C007156,2014-01-23 23:44:00,2020-12-30 05:27:00
C002088,2014-02-12 14:15:00,2021-01-03 20:55:00
C007448,2014-02-05 13:33:00,2020-12-03 16:27:00
C002517,2014-01-28 00:55:00,2021-01-16 09:20:00
C006498,2014-01-27 02:17:00,2020-12-21 06:48:00
C001960,2014-02-05 01:08:00,2020-12-24 10:39:00
C001685,2014-01-21 15:23:00,2021-01-05 14:36:00
C000121,2014-04-18 01:50:00,2020-12-24 16:17:00
C009007,2014-01-23 12:19:00,2021-01-07 22:05:00
C004061,2014-01-29 17:36:00,2021-01-22 19:57:00
C004129,2014-02-07 01:47:00,2021-01-07 10:09:00
C006555,2014-03-02 14:38:00,2020-12-02 14:25:00
C006514,2014-01-21 17:22:00,2021-01-13 16:03:00
C003870,2014-01-22 19:52:00,2021-01-15 17:12:00
C001951,2014-01-30 23:58:00,2021-01-06 23:49:00
C002107,2014-02-01 16:04:00,2021-01-22 00:22:00
C009071,2014-02-14 14:31:00,2021-01-01 11:50:00
C004028,2014-03-11 22:16:00,2021-01-04 08:16:00
C002430,2014-04-03 11:50:00,2021-01-21 08:20:00
C004517,2014-02-09 01:33:00,2021-01-09 11:44:00
C001626,2014-01-30 04:33:00,2021-01-09 19:48:00
C000325,2014-01-25 18:11:00,2021-01-22 05:08:00
C004772,2014-01-25 06:45:00,2021-01-04 06:32:00
C004845,2014-02-14 07:20:00,2021-01-19 04:31:00
C000372,2014-02-04 08:17:00,2021-01-18 20:39:00
C003230,2014-01-31 14:27:00,2020-12-26 03:20:00
C003047,2014-05-30 16:11:00,2020-11-09 16:06:00
C006196,2014-03-05 04:24:00,2021-01-10 02:06:00
C001795,2014-03-03 16:45:00,2020-11-07 07:59:00
C003712,2014-02-16 09:06:00,2021-01-01 09:10:00
C004782,2014-03-05 12:28:00,2021-01-16 10:24:00
C000351,2014-01-24 05:54:00,2021-01-21 14:08:00
C000414,2014-02-08 00:35:00,2021-01-07 19:54:00
C001573,2014-02-03 19:47:00,2020-12-22 05:47:00
C007722,2014-02-28 22:26:00,2020-12-20 11:13:00
C003559,2014-01-31 21:23:00,2020-12-25 05:35:00
C000481,2014-01-20 22:29:00,2021-01-17 18:59:00
C005897,2014-01-29 13:08:00,2020-11-15 09:56:00
C006667,2014-01-29 07:20:00,2020-11-29 18:22:00
C004514,2014-02-23 05:13:00,2020-12-29 11:48:00
C004506,2014-01-23 13:42:00,2020-12-23 12:02:00
C005420,2014-02-17 16:36:00,2021-01-16 07:59:00
C003570,2014-01-27 02:17:00,2021-01-14 23:06:00
C000360,2014-01-26 11:55:00,2021-01-03 03:03:00
C002341,2014-01-21 07:00:00,2021-01-19 18:03:00
C002784,2014-03-05 15:48:00,2021-01-18 07:44:00
C008408,2014-02-04 23:47:00,2020-12-29 23:48:00
C008121,2014-01-21 05:56:00,2021-01-12 22:58:00
C008290,2014-02-11 11:20:00,2021-01-20 23:10:00
C003643,2014-02-04 10:25:00,2020-12-30 13:38:00
C000289,2014-04-06 23:33:00,2021-01-13 11:48:00
C007800,2014-01-29 09:31:00,2021-01-19 15:17:00
C005563,2014-01-24 00:21:00,2021-01-21 20:48:00
C000589,2014-02-13 22:26:00,2021-01-09 15:33:00
C000618,2014-01-25 04:29:00,2020-10-23 22:29:00
C004886,2014-02-02 20:29:00,2020-12-18 07:12:00
C000994,2014-02-07 21:25:00,2020-12-31 06:23:00
C007210,2014-01-30 08:10:00,2021-01-21 20:48:00
C007421,2014-03-20 22:21:00,2020-12-13 19:09:00
C008606,2014-01-30 14:08:00,2021-01-14 01:27:00
C000718,2014-01-29 19:08:00,2020-12-23 23:00:00
C002029,2014-01-28 15:46:00,2021-01-05 10:05:00
C008794,2014-01-23 05:16:00,2021-01-05 13:09:00
C003859,2014-02-23 23:15:00,2021-01-19 06:35:00
C000706,2014-03-11 08:01:00,2020-12-27 09:23:00
C001672,2014-03-29 06:28:00,2021-01-22 03:09:00
C000608,2014-01-31 04:21:00,2021-01-18 01:02:00
C007292,2014-02-17 00:06:00,2020-11-14 19:32:00
C001611,2014-02-17 20:21:00,2021-01-12 05:24:00
C004933,2014-04-10 05:05:00,2020-12-16 11:12:00
C008782,2014-02-03 06:47:00,2020-12-31 21:24:00
C007829,2014-01-30 08:08:00,2020-12-18 21:06:00
C005862,2014-02-24 17:54:00,2021-01-17 08:01:00
C006792,2014-01-27 05:10:00,2021-01-20 23:29:00
C006395,2014-01-23 05:16:00,2021-01-21 15:09:00
C005412,2014-01-22 01:26:00,2021-01-02 08:34:00
C003902,2014-01-30 12:58:00,2020-11-16 16:09:00
C006788,2014-01-22 20:53:00,2020-11-02 06:04:00
C002732,2014-01-31 03:11:00,2020-11-18 22:12:00
C007238,2014-01-23 21:21:00,2020-12-28 05:59:00
C002039,2014-01-22 02:28:00,2020-12-29 11:04:00
C008674,2014-04-17 00:28:00,2020-12-18 11:24:00
C003141,2014-03-15 14:29:00,2020-12-24 00:39:00
C007836,2014-01-27 01:18:00,2021-01-22 18:52:00
C008682,2014-02-07 10:16:00,2021-01-14 01:25:00
C008934,2014-02-04 08:31:00,2020-12-19 13:16:00
C004795,2014-02-12 17:06:00,2020-12-19 21:20:00
C008349,2014-02-27 00:38:00,2021-01-15 03:32:00
C006370,2014-03-02 14:44:00,2021-01-14 12:05:00
C006869,2014-03-23 13:27:00,2020-11-04 18:22:00
C006035,2014-02-21 07:04:00,2021-01-15 07:09:00
C008359,2014-03-06 17:16:00,2021-01-05 13:33:00
C000510,2014-01-24 08:41:00,2021-01-17 20:07:00
C000889,2014-02-20 17:19:00,2020-10-30 16:48:00
C002037,2014-01-24 15:43:00,2020-12-31 19:53:00
C006235,2014-02-22 11:43:00,2021-01-07 19:54:00
C005797,2014-04-04 07:30:00,2021-01-09 03:25:00
C005303,2014-01-22 03:00:00,2020-12-09 16:43:00
C001129,2014-03-18 07:23:00,2021-01-17 00:00:00
C000187,2014-02-05 03:20:00,2021-01-15 21:28:00
C005488,2014-02-10 19:53:00,2021-01-02 09:33:00
C006967,2014-04-11 05:07:00,2020-12-09 22:50:00
C003932,2014-02-01 09:59:00,2020-12-06 12:08:00
C002668,2014-02-19 21:46:00,2021-01-08 23:14:00
C008650,2014-02-08 20:42:00,2020-12-23 07:06:00
C008087,2014-01-25 09:17:00,2021-01-03 02:55:00
C005367,2014-05-09 20:19:00,2020-11-15 08:28:00
C001021,2014-01-25 18:11:00,2021-01-13 08:30:00
C006292,2014-02-08 12:44:00,2021-01-09 01:12:00
C005497,2014-01-22 19:52:00,2021-01-21 16:53:00
C003400,2014-02-01 21:59:00,2021-01-08 17:08:00
C008041,2014-01-24 17:50:00,2021-01-03 02:47:00
C008289,2014-03-12 11:15:00,2021-01-03 15:49:00
C006373,2014-04-07 10:54:00,2021-01-01 11:50:00
C002275,2014-01-29 15:58:00,2021-01-16 19:10:00
C001609,2014-02-10 16:45:00,2020-12-27 05:58:00
C003988,2014-02-15 22:35:00,2020-12-22 09:26:00
C008922,2014-03-02 15:03:00,2021-01-11 23:36:00
C008057,2014-01-25 03:14:00,2021-01-12 00:21:00
C005980,2014-02-23 05:13:00,2020-12-29 05:55:00
C002994,2014-01-30 04:12:00,2021-01-21 06:58:00
C005935,2014-02-28 06:40:00,2021-01-04 02:12:00
C001309,2014-02-27 16:05:00,2020-12-16 05:24:00
C008110,2014-02-24 00:38:00,2021-01-08 09:42:00
C007368,2014-01-31 16:09:00,2021-01-18 20:24:00
C001550,2014-02-06 19:19:00,2021-01-22 18:47:00
C003518,2014-01-28 03:51:00,2021-01-01 20:26:00
C009017,2014-02-10 12:33:00,2021-01-02 14:57:00
C007901,2014-04-29 08:38:00,2021-01-16 05:35:00
C007180,2014-01-21 18:50:00,2021-01-17 04:07:00
